id,raw_hypos
55c1784a-ece4-414a-25b4-08dc18e8f490_13501_4628,
e42558d6-5a42-437d-e7c4-08dcd9e31338_33988_10610,solve
54618732-a2cb-49ec-c034-08dc605e0191_186_5476,cortana play music
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_30219_8273,cake boss
e42558d6-5a42-437d-e7c4-08dcd9e31338_119_11398,what is they more like this
55c1784a-ece4-414a-25b4-08dc18e8f490_132_4576,
55c1784a-ece4-414a-25b4-08dc18e8f490_185_4579,set a reminder to take amelide at bed
4902e925-28da-41fa-da79-08dd7d685e99_580_14966,set a reminder for my event appointment
54618732-a2cb-49ec-c034-08dc605e0191_29336_5520,hey it is cafe and game
54618732-a2cb-49ec-c034-08dc605e0191_30201_5474,never meet the
e42558d6-5a42-437d-e7c4-08dcd9e31338_29122_12222,they focastin at ⁇ am
7c58626d-162e-44d8-0e84-08ddcde6e74d_196_15938,is the front door locked
7c58626d-162e-44d8-0e84-08ddcde6e74d_60_15939,hey facebook
4902e925-28da-41fa-da79-08dd7d685e99_30225_14966,my favorite movie is my favorite movie is ice cream
7c58626d-162e-44d8-0e84-08ddcde6e74d_31665_15941,enough
7c58626d-162e-44d8-0e84-08ddcde6e74d_477_15778,charlie henry warm
e42558d6-5a42-437d-e7c4-08dcd9e31338_125_12222,what is thanksgiving this year
7c58626d-162e-44d8-0e84-08ddcde6e74d_29716_15937,make me a reservation
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_30173_8744,stay home
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29353_8104,call lynn banks
4902e925-28da-41fa-da79-08dd7d685e99_29676_13967,find me a drink recipe
e42558d6-5a42-437d-e7c4-08dcd9e31338_29700_11430,what did the ounces that
7c58626d-162e-44d8-0e84-08ddcde6e74d_189_15937,make it cooler
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_542_8271,set an alarm in ⁇ minutes
55c1784a-ece4-414a-25b4-08dc18e8f490_1054_3802,
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_1053_8745,who won
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29338_8791,read the volume tomatoes
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29347_8746,
55c1784a-ece4-414a-25b4-08dc18e8f490_583_4629,
4902e925-28da-41fa-da79-08dd7d685e99_522_14083,how do you spell received
4902e925-28da-41fa-da79-08dd7d685e99_49_15022,hey google
4902e925-28da-41fa-da79-08dd7d685e99_626_15022,tell me songs ⁇
7c58626d-162e-44d8-0e84-08ddcde6e74d_39_15936,alexa
7c58626d-162e-44d8-0e84-08ddcde6e74d_1057_15941,what is the temperature
4902e925-28da-41fa-da79-08dd7d685e99_29723_15022,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1059_8102,open reminders
55c1784a-ece4-414a-25b4-08dc18e8f490_28678_4646,
54618732-a2cb-49ec-c034-08dc605e0191_29118_5474,take enalapril at
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1066_8102,what is the weather like today
4902e925-28da-41fa-da79-08dd7d685e99_605_13967,lower temperature demands
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_148_8745,the timer
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29083_8744,stop listening
4902e925-28da-41fa-da79-08dd7d685e99_30216_13967,look out for you care about you
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_558_8789,make the time to
4902e925-28da-41fa-da79-08dd7d685e99_29735_14082,
54618732-a2cb-49ec-c034-08dc605e0191_30192_5335,is banks memory
55c1784a-ece4-414a-25b4-08dc18e8f490_63_4562,
55c1784a-ece4-414a-25b4-08dc18e8f490_636_4650,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1061_8744,what restaurants are nearby
4902e925-28da-41fa-da79-08dd7d685e99_81_14082,like this song
54618732-a2cb-49ec-c034-08dc605e0191_1070_5680,tell me the
7c58626d-162e-44d8-0e84-08ddcde6e74d_134_15939,when film the oscar
4902e925-28da-41fa-da79-08dd7d685e99_459_15022,play music
55c1784a-ece4-414a-25b4-08dc18e8f490_27569_4579,the twice as struck out the
55c1784a-ece4-414a-25b4-08dc18e8f490_605_4646,
55c1784a-ece4-414a-25b4-08dc18e8f490_112_4576,what is the weather
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_459_8791,when is the front off with your speaker
7c58626d-162e-44d8-0e84-08ddcde6e74d_33867_15775,shift
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29679_8371,it is parkins beach purple
55c1784a-ece4-414a-25b4-08dc18e8f490_1117_3802,
4902e925-28da-41fa-da79-08dd7d685e99_90_14966,dislike this song
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1076_8744,hey
4902e925-28da-41fa-da79-08dd7d685e99_136_14082,
4902e925-28da-41fa-da79-08dd7d685e99_600_15022,listen to cvs
4902e925-28da-41fa-da79-08dd7d685e99_619_15022,what price
e42558d6-5a42-437d-e7c4-08dcd9e31338_1064_10610,what is the time
7c58626d-162e-44d8-0e84-08ddcde6e74d_33693_15938,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29177_8371,who play ⁇ rd base for the pir
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_595_8370,set the ac to ⁇
7c58626d-162e-44d8-0e84-08ddcde6e74d_29738_15780,popular movies
55c1784a-ece4-414a-25b4-08dc18e8f490_49_4652,
54618732-a2cb-49ec-c034-08dc605e0191_1081_5680,my favorite
e42558d6-5a42-437d-e7c4-08dcd9e31338_613_12269,unk
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29355_8271,call aliz kinsley
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29342_8271,dear customer service comma
4902e925-28da-41fa-da79-08dd7d685e99_29118_14084,
55c1784a-ece4-414a-25b4-08dc18e8f490_189_4579,
54618732-a2cb-49ec-c034-08dc605e0191_140_5335,
7c58626d-162e-44d8-0e84-08ddcde6e74d_231_15936,meeting to my calendar
54618732-a2cb-49ec-c034-08dc605e0191_1062_5234,how does the call
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29573_8371,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29102_8743,my text
4902e925-28da-41fa-da79-08dd7d685e99_29365_14965,what is the weather on christmas
54618732-a2cb-49ec-c034-08dc605e0191_90_5520,dislike this song
e42558d6-5a42-437d-e7c4-08dcd9e31338_29094_10610,please send this text
e42558d6-5a42-437d-e7c4-08dcd9e31338_29598_12269,what time have been
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_147_8789,how do you think
55c1784a-ece4-414a-25b4-08dc18e8f490_1052_4652,
55c1784a-ece4-414a-25b4-08dc18e8f490_565_4628,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_90_8742,dislike this song
55c1784a-ece4-414a-25b4-08dc18e8f490_1074_4652,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1071_8102,turn off heat
4902e925-28da-41fa-da79-08dd7d685e99_56_14084,what time is it
4902e925-28da-41fa-da79-08dd7d685e99_200_13968,cancel the meeting
e42558d6-5a42-437d-e7c4-08dcd9e31338_612_12269,backward ⁇
55c1784a-ece4-414a-25b4-08dc18e8f490_162_4579,
55c1784a-ece4-414a-25b4-08dc18e8f490_626_4646,
e42558d6-5a42-437d-e7c4-08dcd9e31338_199_10703,the darkness green
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29337_8273,recipe with ⁇ milk
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29692_8791,we go to call st
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29346_8104,i need to return this item
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_39_8794,recipe
7c58626d-162e-44d8-0e84-08ddcde6e74d_49_15775,hey google
55c1784a-ece4-414a-25b4-08dc18e8f490_20514_4646,my husband was a
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_1054_8744,
4902e925-28da-41fa-da79-08dd7d685e99_80_14965,what is the temperature outside
54618732-a2cb-49ec-c034-08dc605e0191_1063_5234,turn up the tv
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_30186_8769,who is the song call
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29098_8744,pharmacy open
7c58626d-162e-44d8-0e84-08ddcde6e74d_29356_15783,call carol neville
55c1784a-ece4-414a-25b4-08dc18e8f490_572_4629,
55c1784a-ece4-414a-25b4-08dc18e8f490_4937_4628,
54618732-a2cb-49ec-c034-08dc605e0191_29114_5520,how many refills are left on my clindam
7c58626d-162e-44d8-0e84-08ddcde6e74d_82_15939,song come out
4902e925-28da-41fa-da79-08dd7d685e99_69_14083,turn off all switch
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_29114_8742,how many refills are left on my clindamycin
